Name,Attribute,Type,Level,Attack,Defense,Description,Property,Status,Limitation text
"""A"" Cell Breeding Device",,Magic,,,,"During each of your Standby Phases, put 1 A-Counter on 1 face-up monster your opponent controls.",Continuous,,
"""A"" Cell Incubator",,Magic,,,,"Each time an A-Counter(s) is removed from play by a card effect, place 1 A-Counter on this card. When this card is destroyed, distribute the A-Counters on this card among face-up monsters.",Continuous,,
"""A"" Cell Scatter Burst",,Magic,,,,"Select 1 face-up ""Alien"" monster you control. Destroy it and distribute new A-Counters equal to its Level among your opponent's face-up monsters.",Quick-Play,,
3-Hump Lacooda,EARTH,Beast / Effect,3,500,1500,"If there are 3 face-up ""3-Hump Lacooda"" cards on your side of the field, Tribute 2 of them to draw 3 cards.",,,
"30,000-Year White Turtle",WATER,Aqua,5,1250,2100,"''A huge turtle that has existed for over 30,000 years.''",,,
4-Starred Ladybug of Doom,WIND,Insect / Flip / Effect,3,800,1200,FLIP: Destroy all Level 4 monsters your opponent controls.,,,
7,,Magic,,,,"When there are 3 face-up ""7"" cards on your side of the field, draw 3 cards from your Deck. Then destroy all ""7"" cards. When this card is sent directly from the field to your Graveyard, increase your Life Points by 700 points.",Continuous,,
7 Colored Fish,WATER,Fish,4,1800,800,A rare rainbow fish that has never been caught by mortal man.,,,
7 Completed,,Magic,,,,"Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF, depending on the choice.",Equip,,
8-Claws Scorpion,DARK,Insect / Effect,2,300,200,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only.",,,
A Cat of Ill Omen,DARK,Beast / Flip / Effect,2,500,300,"FLIP: Choose 1 Trap from your Deck and place it on top of your Deck, or, if ""Necrovalley"" is on the field, you can add that Trap to your hand instead.",,,
A Deal with Dark Ruler,,Magic,,,,"(This card is always treated as an ""Archfiend"" card.)
If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 ""Berserk Dragon"" from your hand or Deck.",Quick-Play,,
A Feather of the Phoenix,,Magic,,,,"Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.",Normal,,
A Feint Plan,,Trap,,,,A player cannot attack face-down monsters during this turn.,Normal,,
A Hero Emerges,,Trap,,,,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the Graveyard.",Normal,,
A Legendary Ocean,,Magic,,,,"(This card's name is always treated as ""Umi"".)
All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.",Field,,
A Man with Wdjat,DARK,Spellcaster / Effect,4,1600,1600,"When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your opponent's side of the field. Pick it up and look at it, then return it to its original position.",,,
A Rival Appears!,,Trap,,,,Select 1 face-up monster your opponent controls. Special Summon 1 monster from your hand that has the same Level as the selected monster.,Normal,,
A Wingbeat of Giant Dragon,,Magic,,,,"Return 1 Level 5 or higher Dragon-Type monster you control to the hand, and if you do, destroy all Spell and Trap Cards on the field.",Normal,,
A-Team: Trap Disposal Unit,FIRE,Machine / Effect,2,300,400,"This effect can be used during either player's turn. When your opponent activates a Trap Card, Tribute this face-up card to negate the activation of the Trap Card and destroy it.",,,
Abaki,FIRE,Fiend / Effect,4,1700,1100,"When this card is destroyed and sent to the Graveyard by battle, both players take 500 damage.",,,
Abare Ushioni,EARTH,Beast-Warrior / Effect,4,1200,1200,"Once per turn, you can toss a coin and call it. If you call it right, inflict 1000 damage to your opponent. If you call it wrong, you take 1000 damage.",,,
Absolute End,,Trap,,,,"Activate only during your opponent's turn. This turn, the attacks from your opponent's monsters become direct attacks.",Normal,,
Absorbing Kid from the Sky,LIGHT,Fairy / Effect,4,1300,1000,"When this card destroys a monster and sends it to the Graveyard as a result of battle, increase your Life Points by the Level of the destroyed monster x 300 points.",,,
Abyss Flower,EARTH,Plant,2,750,400,''A rarely seen flower that blossoms quietly on the edge of darkness.'',,,
Abyss Soldier,WATER,Aqua / Effect,4,1800,1300,Once per turn: You can discard 1 WATER monster to the Graveyard to target 1 card on the field; return it to the hand.,,,
Abyssal Designator,,Magic,,,,Pay 1000 Life Points. Declare a Type and an Attribute. Your opponent must send 1 monster with both the declared Type and Attribute from their hand or Deck to the Graveyard.,Normal,,
Accumulated Fortune,,Trap,,,,Activate only as Chain Link 4 or higher. Draw 2 cards. You cannot activate this card if multiple cards/effects with the same name are in that Chain.,Normal,,
