Name,Attribute,Type,Level,Attack,Defense,Description,Property,Status,Limitation text
"30,000-Year White Turtle",WATER,Aqua,5,1250.0,2100.0,"A huge turtle that has existed for over 30,000 years.",,,
4-Starred Ladybug of Doom,WIND,Insect  / Effect,3,800.0,1200.0,FLIP: Destroys all face-up Level 4 monsters on your opponent's side of the field.,,,
7 Colored Fish,WATER,Fish,4,1800.0,800.0,A rare rainbow fish that has never been caught by mortal man.,,,
7 Completed,,Magic,,,,A Machine-Type monster equipped with this card increases either its ATK or DEF by 700 points. You cannot change your choice as long as this card remains face-up on the field.,Equip,,
Abyss Flower,EARTH,Plant,2,750.0,400.0,A rarely seen flower that blossoms quietly on the edge of darkness.,,,
Acid Crawler,EARTH,Insect,3,900.0,700.0,A giant caterpillar that secretes an acid mist that melts anything.,,,
Acid Trap Hole,,Trap,,,,"Flip 1 face-down Defense Position monster face-up.  If the monster's DEF is 2000 points or less, the monster is destroyed.  If the DEF is more than 2000 points, return the monster to its face-down Defense Position.",,,
Air Eater,WIND,Fiend,6,2100.0,1600.0,"A monster that feeds on oxygen, suffocating any who stand near.",,,
Air Marmot of Nefariousness,EARTH,Beast,2,400.0,600.0,A horned beaver that dive-bombs enemies with acorns.,,,
Akakieisu,DARK,Spellcaster,3,1000.0,800.0,A sorcerer who utters spells that can render monsters unconscious.,,,
Akihiron,WATER,Aqua,5,1700.0,1400.0,"This strange creature hides in the deep, dark corners of the seven seas.",,,
Alinsection,EARTH,Insect,3,950.0,700.0,A stag beetle with saw-like head and arms.,,,
Alligator's Sword,EARTH,Beast,4,1500.0,1200.0,This lizard man can swing a sword at velocities that exceed the speed of sound.,,,
Alligator's Sword Dragon,WIND,Dragon  / Fusion / Effect,5,1700.0,1500.0,"""Baby Dragon"" + ""Alligator's Sword"".  You can Inflict Direct Damage to your opponent's Life Points with this card if the only Attributes of Monster Cards on your opponent's side of the field are EARTH, WATER, or FIRE.",,,
Alpha The Magnet Warrior,EARTH,Rock,4,1400.0,1700.0,"Alpha, Beta, and Gamma meld as one to form a powerful monster.",,,
Amazon Archer,EARTH,Warrior  / Effect,4,1400.0,1000.0,You can inflict 1200 points of Direct Damage to your opponent's Life Points by offering 2 of your monsters on the field as a Tribute.,,,
Amazon of the Seas,WATER,Fish,4,1300.0,1400.0,A mermaid who serves as herald of the Sea King and guards the sanctuary.,,,
Ameba,WATER,Aqua  / Effect,1,300.0,350.0,"When this card is face-up on the field and control shifts to your opponent, inflict 2000 points of Direct Damage to your opponent's Life Points. This effect can only be used once as long as this card remains face-up on the field.",,,
Amphibian Beast,WATER,Fish,6,2400.0,2000.0,"On land or in the sea, the speed of this monster is unmatchable.",,,
Amphibious Bugroth,WATER,Aqua  / Fusion,5,1850.0,1300.0,Ground Attacker Bugroth + Guardian of the Sea,,,
Ancient Brain,DARK,Fiend,3,1000.0,700.0,A fallen fairy that is powerful in the dark.,,,
Ancient Elf,LIGHT,Spellcaster,4,1450.0,1200.0,This elf is rumored to have lived for thousands of years. He leads an army of spirits against his enemies.,,,
Ancient Jar,EARTH,Rock,1,400.0,200.0,A very fragile jar that contains something ancient and dangerous.,,,
Ancient Lizard Warrior,EARTH,Reptile,4,1400.0,1100.0,"Before the dawn of man, this lizard warrior ruled supreme.",,,
Ancient One of the Deep Forest,EARTH,Beast,6,1800.0,1900.0,"This creature adopts the form of a white goat living in the forest, but is actually a Forest Elder.",,,
Ancient Sorcerer,DARK,Spellcaster,4,1000.0,1300.0,"Armed with an array of magic wands, this creature is capable of multiple attacks.",,,
Ancient Telescope,,Magic,,,,See the top 5 cards of your opponent's Deck. Return the cards to the Deck in the same order.,,,
Ancient Tool,DARK,Machine,5,1700.0,1400.0,A destructive machine discovered in the Ruins of the Ancients.,,,
